平安银行(000001)	万科Ａ(000002)	国农科技(000004)	世纪星源(000005)	深振业Ａ(000006)
全新好(000007)	神州高铁(000008)	中国宝安(000009)	美丽生态(000010)	深物业Ａ(000011)
南玻Ａ(000012)	沙河股份(000014)	深康佳Ａ(000016)	深中华Ａ(000017)	神州长城(000018)
深深宝Ａ(000019)	深华发Ａ(000020)	深科技(000021)	深赤湾Ａ(000022)	深天地Ａ(000023)
特力Ａ(000025)	飞亚达Ａ(000026)	深圳能源(000027)	国药一致(000028)	深深房Ａ(000029)
富奥股份(000030)	中粮地产(000031)	深桑达Ａ(000032)	*ST新都(000033)	神州数码(000034)
中国天楹(000035)	华联控股(000036)	*ST南电A(000037)	深大通(000038)	中集集团(000039)
东旭蓝天(000040)	中洲控股(000042)	中航地产(000043)	深纺织Ａ(000045)	泛海控股(000046)
康达尔(000048)	德赛电池(000049)	深天马Ａ(000050)	方大集团(000055)	皇庭国际(000056)
深赛格(000058)	华锦股份(000059)	中金岭南(000060)	农产品(000061)	深圳华强(000062)
中兴通讯(000063)	北方国际(000065)	长城电脑(000066)	华控赛格(000068)	华侨城Ａ(000069)
特发信息(000070)	海王生物(000078)	盐田港(000088)	深圳机场(000089)	天健集团(000090)
广聚能源(000096)	中信海直(000099)	TCL集团(000100)	宜华健康(000150)	中成股份(000151)
丰原药业(000153)	*ST川化(000155)	华数传媒(000156)	中联重科(000157)	常山股份(000158)
国际实业(000159)	申万宏源(000166)	东方市场(000301)	美的集团(000333)	潍柴动力(000338)
许继电气(000400)	冀东水泥(000401)	金融街(000402)	ST生化(000403)	华意压缩(000404)
胜利股份(000407)	*ST金源(000408)	山东地矿(000409)	沈阳机床(000410)	英特集团(000411)
东旭光电(000413)	渤海金控(000415)	民生控股(000416)	合肥百货(000417)	小天鹅Ａ(000418)
通程控股(000419)	吉林化纤(000420)	南京公用(000421)	湖北宜化(000422)	东阿阿胶(000423)
徐工机械(000425)	兴业矿业(000426)	华天酒店(000428)	粤高速Ａ(000429)	张家界(000430)
晨鸣纸业(000488)	山东路桥(000498)	鄂武商Ａ(000501)	绿景控股(000502)	海虹控股(000503)
*ST生物(000504)	*ST珠江(000505)	中润资源(000506)	珠海港(000507)	华塑控股(000509)
金路集团(000510)	*ST烯碳(000511)	丽珠集团(000513)	渝开发(000514)	国际医学(000516)
荣安地产(000517)	四环生物(000518)	江南红箭(000519)	长航凤凰(000520)	美菱电器(000521)
广州浪奇(000523)	岭南控股(000524)	红太阳(000525)	紫光学大(000526)	柳工(000528)
广弘控股(000529)	大冷股份(000530)	穗恒运Ａ(000531)	力合股份(000532)	万家乐(000533)
万泽股份(000534)	华映科技(000536)	广宇发展(000537)	云南白药(000538)	粤电力Ａ(000539)
中天城投(000540)	佛山照明(000541)	皖能电力(000543)	中原环保(000544)	金浦钛业(000545)
金圆股份(000546)	航天发展(000547)	湖南投资(000548)	江铃汽车(000550)	创元科技(000551)
靖远煤电(000552)	沙隆达Ａ(000553)	泰山石油(000554)	神州信息(000555)	西部创业(000557)
莱茵体育(000558)	万向钱潮(000559)	昆百大Ａ(000560)	烽火电子(000561)	陕国投Ａ(000563)
